,AutoKaggle,AIDE,DataInterpreter,AIScientist,SWEAgent,OpenHands,MetaGPT,AgentBench,Voyager,Camel
AutoKaggle,1.0,0.6193480491638184,0.5744291543960571,0.6528159379959106,0.7247397899627686,0.8838019371032715,0.7547186613082886,0.5637235045433044,0.0,0.9654622077941895
AIDE,0.6193480491638184,1.0,0.0,0.7582559585571289,0.6062389016151428,0.5874349474906921,0.0,0.7824686765670776,0.0,0.7114971280097961
DataInterpreter,0.5744291543960571,0.0,1.0,0.5609322786331177,0.602505087852478,0.5947414636611938,0.8079608082771301,0.698814332485199,0.5548924207687378,0.0
AIScientist,0.6528159379959106,0.7582559585571289,0.5609322786331177,1.0,0.6414030194282532,0.6659078598022461,0.0,0.6864811778068542,0.0,0.5768260955810547
SWEAgent,0.7247397899627686,0.6062389016151428,0.602505087852478,0.6414030194282532,1.0,0.6926382184028625,0.0,0.6509815454483032,0.0,0.6122669577598572
OpenHands,0.8838019371032715,0.5874349474906921,0.5947414636611938,0.6659078598022461,0.6926382184028625,1.0,0.7547186613082886,0.6406774520874023,0.0,0.6916482448577881
MetaGPT,0.7547186613082886,0.0,0.8079608082771301,0.0,0.0,0.7547186613082886,1.0,0.671441376209259,0.5628125071525574,0.7683311700820923
AgentBench,0.5637235045433044,0.7824686765670776,0.698814332485199,0.6864811778068542,0.6509815454483032,0.6406774520874023,0.671441376209259,1.0,0.5829644799232483,0.6161521673202515
Voyager,0.0,0.0,0.5548924207687378,0.0,0.0,0.0,0.5628125071525574,0.5829644799232483,1.0,0.0
Camel,0.9654622077941895,0.7114971280097961,0.0,0.5768260955810547,0.6122669577598572,0.6916482448577881,0.7683311700820923,0.6161521673202515,0.0,1.0
